,Repository,Commit,Type,Node Before,Node After,Commit URL,Result,file,change,node,RefactorBERT
0,darknet,8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,CHANGE_SIGNATURE,"src/cost_layer.h:backward_cost_layer(cost_layer, network_state):331-391","src/cost_layer.h:backward_cost_layer(cost_layer, network):323-375",https://github.com/refdiff-study/darknet/commit/8d9ed0a1d680c8d31e453e2e1cebfda66b357c11,TP,src/cost_layer.h,"backward_cost_layer(cost_layer, network_state)",331-391,1
1,tmux,c48d09ec8870ac218d6cc2bbec638d59839eda27,CHANGE_SIGNATURE,environ.c:environ_for_session(session):5209-5679,"environ.c:environ_for_session(session, int):5209-5714",https://github.com/refdiff-study/tmux/commit/c48d09ec8870ac218d6cc2bbec638d59839eda27,TP,environ.c,environ_for_session(session),5209-5679,1
2,php-src,2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3,CHANGE_SIGNATURE,"ext/phar/phar_object.c:phar_postprocess_ru_web(char, int, char, int, char, int):10890-12059","ext/phar/phar_object.c:phar_postprocess_ru_web(char, size_t, char, size_t, char, size_t):10901-12077",https://github.com/refdiff-study/php-src/commit/2e5ac355b9b578e5d1e460f2b2f4205f8a7c87b3,TP,ext/phar/phar_object.c,"phar_postprocess_ru_web(char, int, char, int, char, int)",10890-12059,1
3,nuklear,bd30c124a655400f0f7da127be939919e8b46c58,CHANGE_SIGNATURE,"nuklear.h:nk_color_picker(nk_context, nk_color, nk_color_format):114394-114468","nuklear.h:nk_color_picker(nk_context, nk_colorf, nk_color_format):114395-114470",https://github.com/refdiff-study/nuklear/commit/bd30c124a655400f0f7da127be939919e8b46c58,TP,nuklear.h,"nk_color_picker(nk_context, nk_color, nk_color_format)",114394-114468,1
4,toxcore,d83efd35dd342da7f5b0f4b6e11ffd943d7f3c63,CHANGE_SIGNATURE,"testing/irc_syncbot.c:callback_friend_message(Tox, int, uint8_t, uint16_t, void):1875-2356","testing/irc_syncbot.c:callback_friend_message(Tox, uint32_t, uint8_t, size_t, void):1875-2359",https://github.com/refdiff-study/toxcore/commit/d83efd35dd342da7f5b0f4b6e11ffd943d7f3c63,TP,testing/irc_syncbot.c,"callback_friend_message(Tox, int, uint8_t, uint16_t, void)",1875-2356,1
5,redis,60a4f12f8b998c44dfff0e88202b01598287390d,CHANGE_SIGNATURE,"src/networking.c:setProtocolError(char, client, int):1725-1781","src/networking.c:setProtocolError(char, client, null):1725-1782",https://github.com/refdiff-study/redis/commit/60a4f12f8b998c44dfff0e88202b01598287390d,TP,src/networking.c,"setProtocolError(char, client, int)",1725-1781,1
6,redis,09e3b3b97588e9847fc016dbad489bbe8b46aa39,CHANGE_SIGNATURE,"src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamCG, streamConsumer):35030-36602","src/t_stream.c:streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamConsumer):35007-36562",https://github.com/refdiff-study/redis/commit/09e3b3b97588e9847fc016dbad489bbe8b46aa39,TP,src/t_stream.c,"streamReplyWithRangeFromConsumerPEL(client, stream, streamID, streamID, size_t, streamCG, streamConsumer)",35030-36602,1
7,toxcore,d71136262227d68b649ce9fd8e020597c69cce07,CHANGE_SIGNATURE,"auto_tests/tox_test.c:print_message(Tox, uint32_t, uint8_t, size_t, void):722-1098","auto_tests/tox_test.c:print_message(Tox, uint32_t, TOX_MESSAGE_TYPE, uint8_t, size_t, void):722-1225",https://github.com/refdiff-study/toxcore/commit/d71136262227d68b649ce9fd8e020597c69cce07,TP,auto_tests/tox_test.c,"print_message(Tox, uint32_t, uint8_t, size_t, void)",722-1098,1
8,vim,1dd45fb4f3371f0256653b2186c8b4b3d26b3f41,CHANGE_SIGNATURE,src/gui_w32.c:gui_mch_stop_blink(void):15295-15487,src/gui_w32.c:gui_mch_stop_blink(int):15295-15543,https://github.com/refdiff-study/vim/commit/1dd45fb4f3371f0256653b2186c8b4b3d26b3f41,TP,src/gui_w32.c,gui_mch_stop_blink(void),15295-15487,1
9,git,6862ebbfcbdd44b68dbdcfecd432432bdf22b2e5,CHANGE_SIGNATURE,"sha1_file.c:check_and_freshen_nonlocal(char, int):17518-17867","sha1_file.c:check_and_freshen_nonlocal(object_id, int):17525-17881",https://github.com/refdiff-study/git/commit/6862ebbfcbdd44b68dbdcfecd432432bdf22b2e5,TP,sha1_file.c,"check_and_freshen_nonlocal(char, int)",17518-17867,1
10,linux,6e04b103568983bd699fac96b80a9b96ede68118,EXTRACT,"drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_enable_rcfw_channel(pci_dev, bnxt_qplib_rcfw, int, int, int, int):18429-21199","drivers/infiniband/hw/bnxt_re/qplib_rcfw.c:bnxt_qplib_rcfw_start_irq(bnxt_qplib_rcfw, int, bool):18662-19224",https://github.com/refdiff-study/linux/commit/6e04b103568983bd699fac96b80a9b96ede68118,TP,drivers/infiniband/hw/bnxt_re/qplib_rcfw.c,"bnxt_qplib_enable_rcfw_channel(pci_dev, bnxt_qplib_rcfw, int, int, int, int)",18429-21199,1
11,php-src,6c035f53f143c065aa3befbdbacd30ce691cff2a,EXTRACT,Zend/zend_ini.c:ZEND_INI_DISP(null):15548-16337,Zend/zend_ini.c:zend_ini_parse_bool(zend_string):14382-14699,https://github.com/refdiff-study/php-src/commit/6c035f53f143c065aa3befbdbacd30ce691cff2a,TP,Zend/zend_ini.c,ZEND_INI_DISP(null),15548-16337,1
12,jq,3a8c8f4747313d324f4309af66e2211319eccffd,EXTRACT,"src/compile.c:gen_foreach(block, block, block, block, block):21744-24143","src/compile.c:bind_alternation_matchers(block, block):21742-23778",https://github.com/refdiff-study/jq/commit/3a8c8f4747313d324f4309af66e2211319eccffd,TP,src/compile.c,"gen_foreach(block, block, block, block, block)",21744-24143,1
13,redis,08e1c8e820031751bd58736cc334dda1bc55cb5c,EXTRACT,"deps/jemalloc/src/ctl.c:arena_i_purge_ctl(size_t, size_t, void, size_t, void, size_t):42446-42734","deps/jemalloc/src/ctl.c:arena_i_decay(tsdn_t, null, bool):54657-55690",https://github.com/refdiff-study/redis/commit/08e1c8e820031751bd58736cc334dda1bc55cb5c,TP,deps/jemalloc/src/ctl.c,"arena_i_purge_ctl(size_t, size_t, void, size_t, void, size_t)",42446-42734,1
14,redis,cb9dde3280244ec3b449f081639c37dd5a1916ab,EXTRACT,src/module.c:moduleUnload(sds):147587-149249,src/module.c:moduleUnregisterCommands(RedisModule):145960-146769,https://github.com/refdiff-study/redis/commit/cb9dde3280244ec3b449f081639c37dd5a1916ab,TP,src/module.c,moduleUnload(sds),147587-149249,1
15,obs-studio,8a59d68e477233d324995342814a3a18162197b9,EXTRACT,libobs/obs-properties.c:obs_proprety_text_type(obs_property_t):18230-18403,libobs/obs-properties.c:obs_property_text_type(obs_property_t):18230-18403,https://github.com/refdiff-study/obs-studio/commit/8a59d68e477233d324995342814a3a18162197b9,TP,libobs/obs-properties.c,obs_proprety_text_type(obs_property_t),18230-18403,1
16,tmux,f56f09ea3871d3099dd31030501b982a4243a372,EXTRACT,"mode-tree.c:mode_tree_key(mode_tree_data, client, key_code, mouse_event):14974-18829",mode-tree.c:mode_tree_check_selected(mode_tree_data):2829-3086,https://github.com/refdiff-study/tmux/commit/f56f09ea3871d3099dd31030501b982a4243a372,TP,mode-tree.c,"mode_tree_key(mode_tree_data, client, key_code, mouse_event)",14974-18829,1
17,darknet,00d483697a6e395ef6776320cd1e52a04f4367be,EXTRACT,"src/activations.c:activate(float, ACTIVATION):812-1154",src/activations.c:relu_activate(float):913-958,https://github.com/refdiff-study/darknet/commit/00d483697a6e395ef6776320cd1e52a04f4367be,TP,src/activations.c,"activate(float, ACTIVATION)",812-1154,1
18,toxcore,22b1ebb46e5470d919e1f6896c99a82c29b443d3,EXTRACT,"toxcore/DHT.c:closelist_nodes(DHT, Node_format, uint16_t):71278-72211","toxcore/DHT.c:list_nodes(Client_data, int, Node_format, uint16_t):70408-71317",https://github.com/refdiff-study/toxcore/commit/22b1ebb46e5470d919e1f6896c99a82c29b443d3,TP,toxcore/DHT.c,"closelist_nodes(DHT, Node_format, uint16_t)",71278-72211,1
19,toxcore,0207fcdfb0e43d425abb026b08c074a6822e0349,EXTRACT,"toxcore/Messenger.c:do_receipts(Messenger, int32_t):10612-11475","toxcore/Messenger.c:friend_received_packet(Messenger, int32_t, uint32_t):10679-11016",https://github.com/refdiff-study/toxcore/commit/0207fcdfb0e43d425abb026b08c074a6822e0349,TP,toxcore/Messenger.c,"do_receipts(Messenger, int32_t)",10612-11475,1
20,darknet,8c5364f58569eaeb5582a4915b36b24fc5570c76,INLINE,src/detection_layer.c:get_detection_layer_locations(detection_layer):213-352,"src/detection_layer.c:forward_detection_layer(detection_layer, network_state):1063-7021",https://github.com/refdiff-study/darknet/commit/8c5364f58569eaeb5582a4915b36b24fc5570c76,TP,src/detection_layer.c,get_detection_layer_locations(detection_layer),213-352,1
21,netdata,c3636a18fd3582e135ad110888fed2d685c5ca59,INLINE,"src/procfile.c:_procfile_parser_skip_word(char, char, PF_CHAR_TYPE, PF_CHAR_TYPE):4324-4639",src/procfile.c:procfile_parser(procfile):4298-7800,https://github.com/refdiff-study/netdata/commit/c3636a18fd3582e135ad110888fed2d685c5ca59,TP,src/procfile.c,"_procfile_parser_skip_word(char, char, PF_CHAR_TYPE, PF_CHAR_TYPE)",4324-4639,1
22,git,8b026edac3104ecc40a68fd58b764fb3c717babb,INLINE,"merge-recursive.c:was_dirty(merge_options, char):22129-22465","merge-recursive.c:handle_file(merge_options, diff_filespec, int, rename_conflict_info):33847-35238",https://github.com/refdiff-study/git/commit/8b026edac3104ecc40a68fd58b764fb3c717babb,FP,merge-recursive.c,"was_dirty(merge_options, char)",22129-22465,0
23,darknet,60e952ba694e3e0811db5868d70ad7ebfe676836,INLINE,"src/softmax_layer.c:softmax_tree(float, int, int, float, tree, float):932-1355","src/softmax_layer.c:forward_softmax_layer(softmax_layer, network_state):932-1493",https://github.com/refdiff-study/darknet/commit/60e952ba694e3e0811db5868d70ad7ebfe676836,TP,src/softmax_layer.c,"softmax_tree(float, int, int, float, tree, float)",932-1355,1
24,linux,ce4c3e19e5201424357a0c82176633b32a98d2ec,INLINE,"drivers/md/bcache/sysfs.c:bch_read_string_list(char, char):3705-4022",drivers/md/bcache/sysfs.c:STORE(null):24195-25150,https://github.com/refdiff-study/linux/commit/ce4c3e19e5201424357a0c82176633b32a98d2ec,FP,drivers/md/bcache/sysfs.c,"bch_read_string_list(char, char)",3705-4022,0
25,FFmpeg,f7221d8e670ec05471a16cc4cc1cc8e0040b5b5f,INLINE,"libavformat/mov.c:cenc_filter(MOVContext, MOVStreamContext, int64_t, uint8_t, int):206327-208871","libavformat/mov.c:mov_read_packet(AVFormatContext, AVPacket):254497-259244",https://github.com/refdiff-study/FFmpeg/commit/f7221d8e670ec05471a16cc4cc1cc8e0040b5b5f,FP,libavformat/mov.c,"cenc_filter(MOVContext, MOVStreamContext, int64_t, uint8_t, int)",206327-208871,0
26,darknet,fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,INLINE,src/data.c:fill_bg_mask(image):14003-14319,"src/data.c:get_segmentation_image(char, int, int, int):14321-15381",https://github.com/refdiff-study/darknet/commit/fc069593f2ccc5d9026d0a65cd650dbac9ea5b3a,TP,src/data.c,fill_bg_mask(image),14003-14319,1
27,curl,e04417d98f2cac095ea233a4a03e85d881e7ad7b,INLINE,lib/ftp.c:ftp_range(connectdata):104838-106598,"lib/ftp.c:ftp_do_more(connectdata, int):105043-109984",https://github.com/refdiff-study/curl/commit/e04417d98f2cac095ea233a4a03e85d881e7ad7b,FP,lib/ftp.c,ftp_range(connectdata),104838-106598,0
28,darknet,516f019ba6fb88de7218dd3b4eaeadb1cf676518,INLINE,"src/network.c:get_network_output_size_layer(network, int):13933-15574",src/network.c:get_network_output_size(network):8156-8316,https://github.com/refdiff-study/darknet/commit/516f019ba6fb88de7218dd3b4eaeadb1cf676518,FP,src/network.c,"get_network_output_size_layer(network, int)",13933-15574,0
