,Type,Repository,Commit,Node Before,Node After,Detected,file,change,RefactorBERT
0,CHANGE_SIGNATURE,torvalds/linux,06cc1a470ab237b991901729b125404c164f3660,"tools/perf/ui/browsers/hists.c:hist_browser__run(hist_browser, char)","tools/perf/ui/browsers/hists.c:hist_browser__run(hist_browser, char, bool)",Yes,tools/perf/ui/browsers/hists.c,"hist_browser__run(hist_browser, char)",1.0
1,CHANGE_SIGNATURE,git/git,c3fbf81a8534cf88ff948d12004eb94929ec1174,"strbuf.c:strbuf_addftime(strbuf, char, tm)","strbuf.c:strbuf_addftime(strbuf, char, tm, int, char)",Yes,strbuf.c,"strbuf_addftime(strbuf, char, tm)",1.0
2,CHANGE_SIGNATURE,curl/curl,b78944146a0670b74be00e189f468adfc5fca5b7,"lib/multi.c:curl_multi_wait(CURLM, curl_waitfd, int, int)","lib/multi.c:curl_multi_wait(CURLM, curl_waitfd, int, int, int)",Yes,lib/multi.c,"curl_multi_wait(CURLM, curl_waitfd, int, int)",1.0
3,CHANGE_SIGNATURE,torvalds/linux,9a5d2816b8560320ac625e8ae6cfc0d36ea0f52b,drivers/usb/dwc2/gadget.c:dwc2_restore_device_registers(dwc2_hsotg),"drivers/usb/dwc2/gadget.c:dwc2_restore_device_registers(dwc2_hsotg, int)",Yes,drivers/usb/dwc2/gadget.c,dwc2_restore_device_registers(dwc2_hsotg),0.0
4,CHANGE_SIGNATURE,torvalds/linux,6c553435870bf351c594437b4ba8babbdb0bb37e,"fs/btrfs/inode.c:__btrfs_submit_bio_done(void, bio, int, null, u64)","fs/btrfs/inode.c:blk_status_t __btrfs_submit_bio_done(void, bio, int)",Yes,fs/btrfs/inode.c,"__btrfs_submit_bio_done(void, bio, int, null, u64)",1.0
5,CHANGE_SIGNATURE,git/git,0217569bb2db23b8686f67b0f4dda7e517dec6fd,"compat/win32/dirent.c:finddata2dirent(dirent, WIN32_FIND_DATAA)","compat/win32/dirent.c:finddata2dirent(dirent, WIN32_FIND_DATAW)",Yes,compat/win32/dirent.c,"finddata2dirent(dirent, WIN32_FIND_DATAA)",1.0
6,CHANGE_SIGNATURE,php/php-src,905dfb9179a570b51469febda825a52a529d6793,"ext/mbstring/mbstring.c:php_mb_chr(long, char)","ext/mbstring/mbstring.c:php_mb_chr(long, char, size_t)",No,ext/mbstring/mbstring.c,"php_mb_chr(long, char)",1.0
7,CHANGE_SIGNATURE,kripken/emscripten,eeb03b05ad132857a14e081ab6dab4610c8e8f51,"tests/sdl_image_prepare_data.c:ready(char, char)","tests/sdl_image_prepare_data.c:ready(void, char)",Yes,tests/sdl_image_prepare_data.c,"ready(char, char)",1.0
8,CHANGE_SIGNATURE,libuv/libuv,6921d2fc075df8933748e7543402b0ae6d686fa3,"src/unix/pipe.c:uv_pipe_init(uv_loop_t, uv_pipe_t)","src/unix/pipe.c:uv_pipe_init(uv_loop_t, uv_pipe_t, int)",Yes,src/unix/pipe.c,"uv_pipe_init(uv_loop_t, uv_pipe_t)",1.0
9,CHANGE_SIGNATURE,torvalds/linux,abe60ba45c145db2d90609138755fbb3dbc47d00,"fs/btrfs/print-tree.c:btrfs_print_tree(btrfs_fs_info, extent_buffer)",fs/btrfs/print-tree.c:btrfs_print_tree(extent_buffer),Yes,fs/btrfs/print-tree.c,"btrfs_print_tree(btrfs_fs_info, extent_buffer)",1.0
