index,url,project,message,result
0,https://github.com/civetweb/civetweb/commit/4c1451bab1a43066d66ac11e63e906094c79acdb,civetweb/civetweb,refactored SSL initialization. implemented mg_connect(),Yes
1,https://github.com/cubiclesoft/cross-platform-cpp/commit/d079be877b463376155636364acdb6d4cccb0eb0,cubiclesoft/cross-platform-cpp,Another refactor of shared memory.  Separation of interests should be resolved now.,Yes
2,https://github.com/siddontang/libtnet/commit/d777f39cdbee04fadfed4e981351bfed7975fae2,siddontang/libtnet,refactor http/ws client with connector,Yes
3,https://github.com/CMU-SAFARI/prim-benchmarks/commit/bab6c1ba39b7a00eccf3ecdcc7bd4560d2581d18,CMU-SAFARI/prim-benchmarks,"bs_refactor: Remove printf for logging

Signed-off-by: Yun-Ze Li <p76091292@gs.ncku.edu.tw>",No
4,https://github.com/mridgers/clink/commit/2f79ce5a9cd3e2be14416ba23f283a69b9e12301,mridgers/clink,Fixed up tests following API refactor.,No
5,https://github.com/microsoft/DirectXTex/commit/56d86325b65ec36f10e2613ccefa8af6fe1a7460,microsoft/DirectXTex,Code refactor and reformat for texture loaders (#137),Yes
6,https://github.com/rustyrussell/pettycoin/commit/297d09d31d7fe72368759ef519969ce46488e5d3,rustyrussell/pettycoin,"block_info: structure to contain block on the wire.

Since we're going to change it for merge mining, encapsulate it now to
avoid massive refactor confusing the block structure.

Signed-off-by: Rusty Russell <rusty@rustcorp.com.au>",No
7,https://github.com/boostorg/ublas/commit/e68819c645ae85aa3d432269edf467024d2793f8,boostorg/ublas,"Phase 1: adding static extents and static strides

fix macro for MSVC

adding noexcept

fixing test and making changes

adding comparison test and adding resolving issue

changing extents API

fixing MSVC errors

fixing MSVC error

adding static prod function and adding std::array to static extents and static strides

fixing get_number_list

refactoring meta_function into type_traits and adding staic_traits for static_extents

fixing extents_result_type_outer_prod and combining static_functions and functions

removing unnecessary code and header file

removing unnecessary forward declaration

private member resize and adding removed constructors for matrix and vector

changing size_t to std::size_t and fixing stride_t

adding is_resizable type trait for tensor resizing

improve documenting of is_resizable

refactoring code

changing msvc version in .yml

changing toolset msvc-14.1 to msvc-14.16 and adding VSCLCOMPILER

changing toolset msvc-14.2 and image to VS 2019

refactoring code and adding new matrix to appveyor

adding VS 2019 with msvc-14.1 and disabling VS 2019 with msvc-14.2 and c++2a

adding VS 2019 with msvc-14.2 and changing flag to latest

removing VS 2019 with msvc-14.2 and c++17 and adding timeout to travis.yml

travis_wait workaround

removing VS 2017 from appveyor and refactoring code

adding clang support for c++17 and c++20 and refactoring code

changing dist to bionic and adding source link to clang 10

fixing travis, bugs and adding new examples

fixing example bugs for msvc

updating licence and adding test_expression to jamfile

adding new tests, refactoring code and fixing bugs

fix for msvc c++20

fixing memory problem due to BOOST_AUTO_TEST_SUITE macro defining after fixture

removing const from tests and enabling test_tensor.cpp

removing const from test_fixed_rank_expression_evaluation.cpp

fixing msvc bug

fixing msvc-14.2 bug for c++ latest where it cannot properly capture variables in lambda func

disintegrating tests into smaller units

reducing test_types for testing

reducing tests

reducing test_types for testing in operator arithmetic

improving msvc warinings and separating test_function.cpp into it's own module",Yes
8,https://github.com/BoboTiG/cracker-ng/commit/8cbc4f310ff3d30a55e60ebfc11b160cd35c6017,BoboTiG/cracker-ng,Huge code refactoring,Yes
9,https://github.com/fpagliughi/sockpp/commit/8293101181528861bae73163c06a107d9e18c298,fpagliughi/sockpp,Initial working IPv6 with refactored sockets and addresses.,Yes
10,https://github.com/leeeastwood/Haiway/commit/d3ce3b9d039d66a61e800f03e1c62e971aa83fa1,leeeastwood/Haiway,"Merge pull request #8 from bnyf/patch-1

refactoring the haiwei rtos",Unsure
11,https://github.com/HackerPolice/MissedIT/commit/6b63d8b8682335be2ba822dd10b99d2dc529b723,HackerPolice/MissedIT,more refactoring and organisation,Yes
12,https://github.com/espressif/esp-aliyun/commit/41d3e777c03bbb97f4583be03f3cf206304fd31e,espressif/esp-aliyun,"Merge branch 'feature/update_submodule_of_esp8266_sdk' into 'refactor'

feat(esp8266): Update submodule of ESP8266_RTOS_SDK

See merge request demo/esp8266-aliyun-demo!6",Unsure
13,https://github.com/fraillt/cpp/commit/b654eaaa0cb6d8f8fa7a76cc52eeebcdbaa26469,fraillt/cpp,"added zpp library results, and minor code refactorings for bitsery",Unsure
14,https://github.com/jonof/jfsw/commit/9b365321852e63875c956305c3c21411a86adb84,jonof/jfsw,cd refactoring to use jaudiolib services,No
15,https://github.com/WLANThermo-nano/WLANThermo/commit/36eb639fa074eaff2072fd348ef3d4c673cba57b,WLANThermo-nano/WLANThermo,Merge branch 'ui-refactoring' of https://github.com/WLANThermo-nano/WLANThermo_ESP32_Software into ui-refactoring,Unsure
16,https://github.com/8devices/openwrt-8devices/commit/621b6503497c39dc58de0736e5ac367891fb5455,8devices/openwrt-8devices,"ar71xx/image: refactor templates tplink-chn-v2

git-svn-id: svn://svn.openwrt.org/openwrt/trunk@47316 3c298f89-4303-0410-b956-a3cf2f4a3e73",Unsure
17,https://github.com/DGLE-HQ/DGLE/commit/e421bed839a3120907b2d1fa76912e73939d615a,DGLE-HQ/DGLE,Minor func delegate refactoring.,Yes
18,https://github.com/haasn/libplacebo/commit/558cfcb1d2b72492916ecbaa015444a0ca3b1be1,haasn/libplacebo,"shaders/colorspace: refactor icc/3dlut API

Renamed from 3DLUT to ICC across the board, and moved to its own
conditionally installed header Also, merged with the internal lcms code,
since it was a bit redundant now.

Mostly to make room for more LUT formats I will be adding, and since
colorspace.h was a bit cluttered.",Yes
19,https://github.com/Tw1ddle/geometrize/commit/c583c0270f237237d18b417d56716affb4317ed1,Tw1ddle/geometrize,"Put bindings code into its own namespace, other minor refactoring",Yes
20,https://github.com/nzeemin/ukncbtl/commit/eec81abc3a49435e6b7644e7e8b01316bfe615df,nzeemin/ukncbtl,ConsoleView_DoConsoleCommand() refactoring.,Yes
21,https://github.com/microsoft/D3D12TranslationLayer/commit/6ba530c050d781d82289d26f04db1119861bb521,microsoft/D3D12TranslationLayer,"Merge pull request #43 from microsoft/user/tvandewalle/dxbc_signer

Add DXBCBuilder and refactor DXBCParser to it's own lib",Yes
22,https://github.com/cuckydev/PSXFunkin/commit/c3588718cb3e8b2495df1b1549772ad0ce67081b,cuckydev/PSXFunkin,refactor a bit,Yes
23,https://github.com/cztomczak/cefpython/commit/bc8f4cab2903f53e6fd963c1e96480ee5e5c4fec,cztomczak/cefpython,"Added CookieManager class.

Added CookieVisitor class.

Added RequestHandler.GetCookieManager() callback.

Added cookie tests to the wxpython.py script on Linux.

Minor refactoring in client_handler.",Yes
24,https://github.com/bullsoft/phalconplus/commit/cc85d2b1eda90b0321913ac1fe18cf0e917f908c,bullsoft/phalconplus,refactor engine,Yes
25,https://github.com/raspberrypi/libcamera-apps/commit/ed6404676499693f215150369f6095a6493d0a36,raspberrypi/libcamera-apps,"post-processing: refactor ObjectClassifyTfStage to use TfStage base class

Mostly the effect is just to remove code which is now provided in the
TfStage base class.

Signed-off-by: David Plowman <david.plowman@raspberrypi.com>",Yes
26,https://github.com/sethhoward/Brogue-iPad/commit/de1a824807bbfe9169c9fdf7d2807542e009d867,sethhoward/Brogue-iPad,refactor. added event states,No
27,https://github.com/DevNulPavel/osx/commit/6313ba4f075a6ad5ae8c637a6df999a3b5f1fe96,DevNulPavel/osx,Small refactoring,Unsure
28,https://github.com/pganalyze/libpg/commit/f71dbe4f3d6db6dccd4c2c103124d64c73ce0ba9,pganalyze/libpg,"Normalize: Don't touch ""GROUP BY 1"" type statements, keep original text (#113)

This avoids obscuring the semantic meaning of integers in the GROUP BY
clause, which is to reference a particular column in the target list.

In passing, refactor the normalize function a bit for easier readability.",Yes
29,https://github.com/CRREL/points2grid/commit/2a00c3cb14b2f79f2e1147828aed15593214e76a,CRREL/points2grid,"Enable gdal tests on Travis

Use env to build w/ and w/o GDAL. This also includes refactoring of the
unit tests to allow for simple conditional inclusion of GDAL tests.",No
30,https://github.com/neilogd/Engine/commit/6ef774f045f25f5c52e3d1d70c42f23ffad6273b,neilogd/Engine,"Large set of not very incremental changes:
- Pipeline binding sets can now be updated free threaded outside of command lists. Up to the user for synchronization.
- Pipeline binding sets are copied into GPU visible space on command list compilation (to refine later)
- All the main interface refactoring/rewriting should be done to handle the new binding set model for Graphics::Shader.",No
31,https://github.com/strukturag/vlc-2.1/commit/bc83704fd5f9ec32fcefe55e753d9dad2f44d12b,strukturag/vlc-2.1,skins2: refactor some code,Yes
32,https://github.com/taskflow/taskflow/commit/33353d2b061eecc9e3671b78e2b8bb141128a6bc,taskflow/taskflow,refactored round-robin optimizer with dependency pruning heuristic,Yes
33,https://github.com/tunabrain/tungsten/commit/8b4732378f57a21c3248f7d0ba22e815ed6a0e32,tunabrain/tungsten,Full refactor of JSON serialization,Yes
34,https://github.com/alexismorin/Auto-Lightmap-Adjuster/commit/555dae8665723f661b4494f812c4f35aa001cf65,alexismorin/Auto-Lightmap-Adjuster,"unreal refactor, plugin package",Yes
35,https://github.com/TranslucentTB/TranslucentTB/commit/6b1783b9c2f5f5dff14c0f13ddb496a215667395,TranslucentTB/TranslucentTB,"WIP visible window implementation, move around and refactor some stuff

#250",Yes
36,https://github.com/hercules-390/hyperion/commit/83203cf85baaf58c5c37073e21f2b87f900fa8a2,hercules-390/hyperion,"Compiler warning refactoring.... (cont'd)

git-svn-id: file:///home/jj/hercules.svn/trunk@7766 956126f8-22a0-4046-8f4a-272fa8102e63",No
37,https://github.com/JukkaL/alore/commit/0c1df4f1c4e83414f3d8d278e828640a950a3630,JukkaL/alore,"Annotate time module implementation

This required some non-trivial refactoring.",Yes
38,https://github.com/caveman2cosmos/Caveman2Cosmos/commit/b2dc6038d24d14b154f99b584d2c6cd962c48707,caveman2cosmos/Caveman2Cosmos,Misc refactoring,Yes
39,https://github.com/SteveMacenski/spatio/commit/1ad97019465eab07c43ef9bada2625c11c60ef89,SteveMacenski/spatio,"Merge pull request #46 from SteveMacenski/refactor

renaming to be clear, and adding more comments in headers for developers",Yes
40,https://github.com/faelys/libsoldout/commit/c80ce3bb75a4359f4122b23d69f032777f5eec40,faelys/libsoldout,markdown: refactor working buffer allocation and release,Yes
41,https://github.com/switchbrew/nx-hbmenu/commit/20c1f00972db74689ce168edbb4393e5c517c894,switchbrew/nx-hbmenu,Update for libnx hid-refactor,Yes
42,https://github.com/Palakis/obs-ndi/commit/724557077b9877cd2da7b25c5611102fe78ac59e,Palakis/obs-ndi,Filter: style refactor,Yes
43,https://github.com/riboseinc/retrace/commit/fc0cfc2e72fe57005f11cfe41e774498c74a8c20,riboseinc/retrace,"Merge pull request #176 from riboseinc/support_fcntl

Implemented fcntl and refactoring configure.ac",Yes
44,https://github.com/openitu/STL/commit/35cd6c8f1c8820ff4d771bf15abc7cd1b4881d8e,openitu/STL,"g722: added tests.
Remove deprecated (refactored duplicated) code.",Unsure
45,https://github.com/immortalwrt/padavan/commit/59c48bfd5bc12373825e9d6474af6080ea252d1d,immortalwrt/padavan,"scutclient: bump to 3.1.2
ttyd: downgrade to 1.4.0
refactor ss_watchcat and scutclient_watchcat, please remove crontab items",Yes
46,https://github.com/fengwang/matrix/commit/ffe391a6f3bc2313492fdc5e6b86b74f62bf1923,fengwang/matrix,refactor zigzag colormap,Yes
47,https://github.com/SentryPeer/SentryPeer/commit/c56f33925eaac6bbce9df65dc5688c42bbebacf6,SentryPeer/SentryPeer,"- Added Peer to Peer bad_actor sharing (data replication), e.g. it gets saved on the DHT and consumed by other peers
- If OpenDHT-C is detected, check it is at least version 2.3.5. If Peer to Peer mode is not needed, you can
  use `--disable-opendht`
- UUID parsing tests
- JSON parsing tests
- Additional SQLite3 database select tests
- bad_actor_exists tests

Need to drop the requirement for Zyre and test between SentryPeer nodes next, plus some refactoring for decoupling validating bad_actors received from the DHT (plus any issues CI picks up).",Yes
48,https://github.com/ProjectManticore/Manticore/commit/1d274cd9d3b1783e6abb71cde2b658f4cc55a4f2,ProjectManticore/Manticore,refactor 4: it compiles now lmao,Yes
49,https://github.com/SuperTux/supertux/commit/1486ceaaf9dd7a9d2d7e3654550b9a2768df2a56,SuperTux/supertux,"refactored some supertux mainloops

SVN-Revision: 3262",Yes
50,https://github.com/miguelfreitas/twister-core/commit/b4a8a326c067a350b5a5ff0e565555b57ffb3a2e,miguelfreitas/twister-core,"Merge pull request #2660 from TheBlueMatt/gmfrefactor

Refactor fee rules to make them actually readable.",Yes
51,https://github.com/smith3d/Jyers/commit/07f25e73898915c366d25b9d7b26c66def22ea56,smith3d/Jyers,"Unified Bed Leveling Support

* UI framework changes, menu additions/fixes

Framework:
* Add Draw_Checkbox and Redraw_Menu methods
* Draw_Menu_Item custom icon support
* Draw_Float NaN support
* Status area negative Z value fix
* Draw_Popup keeps selection value for Confirm mode
* Clear_Screen documentation
* Replace active menu if block with switch in Value_Control

Menus:
* Add probe control to Move menu
* Add cold extrude temperature limit and power loss recovery control to Control/Advanced
* Add print statistics to Control/Info
* Auto Home moves extruder tip to Z_SAFE_HOMING position when finished
* Fix 'more' setting for menu items

* Update configuration files to include CREALITY_DWIN_EXTUI_CUSTOM_ICONS

* Display firmware with new icons

* Bugfix

* Add support for dual-row label to Draw_Menu_Item, refactor Info menu to use Draw_Menu_Item

* UBL helper functions

* UBL menu with Manual Tuning and Mesh Viewer

* Bugfix

* UBL configuration templates

* UBL menu images

* Disable Custom Icons by Default

* Level configs with other templates

* Rename Folders

* New Workflow Matrices

* Moved UBL Changes to DWIN Code

* Clean Up UBL Leftovers

* Config Additions

* Menu Reoranization and Code Formatting

Co-authored-by: Jyers <jyers.m@gmail.com>",Unsure
52,https://github.com/GNOME/file-roller/commit/8fda8520491ef4e534488a7eb0c6a413c28b9b12,GNOME/file-roller,"Replace custom _gtk_builder_new_from_resource function

The official gtk_builder_new_from_resource is identical except
that it fails loudly. Given that resources are baked into the app,
not being able to load ui file should be a hard error anyway.

Transformed using the following semantic patch:
https://gitlab.gnome.org/jtojnar/glib-refactoring/-/blob/5d70945511ce1f924f2f3eae59cb382bf39caeb7/patches/file-roller/replaced-custom-gtk_builder_from_resource-wannabe.cocci",Yes
53,https://github.com/node-3d/glfw-raub/commit/6916c7e6d64209eb6fe045c3ba97c97638d246c4,node-3d/glfw-raub,"major c++ refactor, use addon-tools",Yes
